step,R_mean,R_std,V_mean,V_std,KL,entropy,Loss
1940,0.297,1.405,0.283,0.837,0.0520,0.0858,0.6089
1950,0.754,1.341,0.505,1.078,0.0077,0.0832,0.2782
1960,0.894,1.192,0.244,0.860,0.0054,0.0896,0.5294
1970,0.240,1.343,0.266,0.927,0.0101,0.0875,0.2214
1980,0.421,1.176,0.113,0.621,0.0208,0.0875,0.5930
1990,-0.137,1.306,-0.092,0.585,0.0113,0.0794,0.6023
2000,0.173,1.283,-0.075,1.031,0.0258,0.0782,0.4791
2010,0.111,1.501,-0.194,1.052,0.0211,0.0858,0.5142
2020,0.552,1.238,0.155,0.803,0.0092,0.0826,0.5461
2030,0.191,1.425,0.309,0.903,0.0140,0.0830,0.5129
2040,0.330,1.273,-0.024,0.844,0.0138,0.0788,0.5563
2050,0.063,1.311,0.399,0.920,0.0033,0.0800,0.6797
2060,0.787,1.131,0.631,0.822,0.0479,0.0770,0.2570
2070,1.043,1.227,0.799,0.929,0.0111,0.0803,0.3781
2080,0.194,1.307,0.489,0.801,0.0137,0.0808,0.5419
2090,0.065,1.324,-0.002,0.779,0.0057,0.0746,0.4766
2100,-0.185,1.346,-0.104,0.745,0.0088,0.0768,0.5720
2110,0.463,1.256,0.076,0.820,0.0124,0.0736,0.4549
2120,0.449,1.383,0.372,0.961,0.0072,0.0810,0.4600
2130,0.587,1.201,0.334,0.727,0.0201,0.0766,0.5136
2140,-0.002,1.316,0.205,0.833,0.0233,0.0822,0.5664
2150,0.310,1.161,0.474,0.862,0.0084,0.0812,0.6074
2160,0.233,1.259,0.241,0.755,0.0094,0.0859,0.4494
2170,0.791,1.202,0.484,0.782,0.0621,0.0794,0.6473
2180,-0.139,1.262,0.106,0.728,0.0109,0.0756,0.4706
2190,-0.038,1.422,0.223,1.007,0.0151,0.0731,0.6628
2200,-0.125,1.163,-0.280,0.728,0.0086,0.0724,0.5075
2210,0.326,1.410,0.415,0.966,0.0058,0.0749,0.2430
2220,0.776,1.263,0.394,0.912,0.0079,0.0802,0.5094
2230,0.344,1.302,0.164,0.860,0.0278,0.0826,0.3025
2240,-0.049,1.420,-0.111,0.943,0.0186,0.0861,0.4920
2250,0.238,1.269,0.128,0.885,0.0071,0.0822,0.5833
2260,0.167,1.296,0.269,0.857,0.0176,0.0825,0.4872
2270,0.532,1.065,0.577,0.521,0.0094,0.0763,0.7018
2280,0.371,1.289,0.374,0.805,0.0041,0.0747,0.5632
2290,-0.131,1.340,-0.183,0.878,0.0088,0.0907,0.5486
2300,0.323,1.369,0.255,0.849,0.0245,0.0849,0.5359
2310,0.601,1.285,0.450,0.858,0.0035,0.0770,0.6578
2320,1.030,1.224,0.948,0.973,0.0037,0.0799,0.1414
2330,1.136,1.038,0.863,0.767,0.0201,0.0764,0.3057
2340,0.440,1.235,0.252,0.814,0.0126,0.0721,0.4476
2350,0.858,1.300,0.555,0.880,0.0033,0.0794,0.3435
2360,0.698,1.007,0.241,0.738,0.0194,0.0757,0.4459
2370,0.487,1.113,0.153,0.744,0.0352,0.0711,0.5892
2380,0.633,1.144,0.307,0.884,0.0106,0.0777,0.6743
2390,0.358,1.273,0.366,0.804,0.0115,0.0800,0.4334
